epoch,lr,train_loss,val_loss,val_rmse,pred_loss,koop_loss,spec_loss,multi_loss
0,0.0002,28.125537850640036,24.75029823996804,9.890658378601074,54.58823693882335,0.9043596183711832,0.0,0.9434475858103145
1,0.0004,6.664601867849177,9.251907045190984,5.933126926422119,12.136393828825517,0.5958316332914613,0.0,0.7576850246299397
2,0.0006000000000000001,4.169554580341686,9.900424046949906,6.212175369262695,7.4020337083122945,0.44828125495802273,0.0,0.7124764729629863
3,0.0008,3.0323176871646536,9.388502424413508,6.119320392608643,5.333395193923604,0.3788721683350476,0.0,0.6661086678504944
4,0.001,2.4922644089568746,9.198182236064564,6.154305934906006,4.514071182771162,0.31593837385827844,0.0,0.6058277420022271
5,0.001,1.8883538083596663,10.012109539725564,6.5465407371521,3.620833922516216,0.25318371944806795,0.0,0.514168537475846
6,0.0009977382253252558,1.3850144188512454,8.748407450589267,6.194783687591553,2.9720288623463023,0.20029829984361475,0.0,0.39530623771927575
7,0.000990973384282722,0.9865427342328158,9.536629590121182,6.6004438400268555,2.4755113531242716,0.21635180813345042,0.0,0.2709784619510174
8,0.0009797667403204414,0.7205088721080259,8.525810891931707,6.311115741729736,2.4189324975013733,0.10820794410326263,0.0,0.18444028835405002
9,0.0009642197825415284,0.5013667710802772,8.492818442257969,6.382201671600342,2.228307507254861,0.09429794787005945,0.0,0.14331997152079234
10,0.0009444733066031344,0.23106174103238367,7.618765310807661,6.143673419952393,1.888691791079261,0.07551055079834028,0.0,0.12039645083925941
11,0.0009207061396491751,0.0023279240862889724,7.171319007873535,6.030402660369873,1.6782635043967853,0.05510775651782751,0.0,0.09239661998369476
12,0.0008931335208240225,-0.23553458296439864,6.587036262858998,5.859958648681641,1.4012758948586204,0.042981846766038376,0.0,0.07404009168120948
13,0.0008620051520334826,-0.3580845282836394,6.980146234685725,6.027879238128662,1.351395464756272,0.03745337990535931,0.0,0.06350834870880301
14,0.0008276029366056701,-0.5112281130118803,7.879188927737149,6.419811725616455,1.1780454326759686,0.04416444470089945,0.0,0.0550838652998209
15,0.0007902384263308136,-0.617557595399293,7.10209287296642,6.166750907897949,1.1531855044039814,0.029646181543781,0.0,0.04756875116039406
16,0.0007502500000000002,-0.6677497611804442,8.423963156613437,6.643194675445557,1.2397575852545826,0.024132547561417927,0.0,0.04054001659493555
17,0.0007079997989944424,-0.829588690941984,7.6500984538685195,6.41884708404541,1.0112902562726627,0.0228402086279609,0.0,0.03763093884018334
18,0.0006638704476770522,-1.0002521940252997,7.430477359078147,6.332122802734375,0.7841917723417282,0.019246833568269558,0.0,0.03257925761863589
19,0.000618261588286959,-1.150860613042658,6.769590724598277,6.080071926116943,0.6129174645651471,0.016568151620132,0.0,0.02732725856317715
20,0.0005715862617175061,-1.1494728523221882,7.7263055281205615,6.410036087036133,0.7746531191197309,0.014625826215540821,0.0,0.024001559581268917
21,0.0005242671669539595,-1.2612947103652088,7.176131551915949,6.207444667816162,0.6281076073646545,0.013977489264851267,0.0,0.022861941167238085
22,0.0004767328330460408,-1.325020126321099,6.888046741485596,6.076909065246582,0.5918690745126117,0.013216455509378151,0.0,0.020721180745485155
23,0.0004294137382824942,-1.3508631587028503,7.31461069800637,6.230824947357178,0.6173461303114891,0.012911957646296783,0.0,0.020023355175825683
24,0.0003827384117130413,-1.472663472999226,7.228218338706276,6.177453517913818,0.43850103223865683,0.011534293669021943,0.0,0.01839962707493793
25,0.000337129552322948,-1.5486332394860007,7.0419020652771,6.081634998321533,0.3612934628670866,0.010792523495514284,0.0,0.016773038226264445
26,0.0002930002010055577,-1.5928981087424539,6.947189070961692,6.0245490074157715,0.34340550852092827,0.009899016342718493,0.0,0.015331976052204316
27,0.00025075000000000016,-1.632836870171807,7.2290145267139785,6.104732513427734,0.32215267284349963,0.009359217968515375,0.0,0.014425059738145634
28,0.0002107615736691866,-1.6840665394609624,7.095964561809193,6.043663024902344,0.2667249955914237,0.008892059072174809,0.0,0.013591780898753892
29,0.00017339706339433017,-1.7072244774211536,7.0575949928977275,6.011448860168457,0.25699847123839636,0.008529243853197178,0.0,0.012944685464555567
30,0.00013899484796651746,-1.7330610887570814,7.168008457530629,6.039684772491455,0.23516655611720952,0.00824731583072042,0.0,0.012442811180583456
31,0.00010786647917597765,-1.755425737662749,7.051689538088712,5.9887776374816895,0.21703789535571227,0.007959991344250739,0.0,0.011986171805553815
32,8.029386035082505e-05,-1.7756261771375483,7.300511620261452,6.065596580505371,0.19649541665884582,0.007789073903536932,0.0,0.01165720663795417
33,5.6526693396865784e-05,-1.7908885478973389,7.31995981389826,6.067440986633301,0.17973553118380634,0.0076767331708899956,0.0,0.011462011861360887
34,3.678021745847175e-05,-1.7945799908854745,7.263386162844571,6.043918609619141,0.1830674157562581,0.00759817217476666,0.0,0.011214721503413537
35,2.1233259679558623e-05,-1.810814605517821,7.296530636874112,6.052707672119141,0.15791436166248538,0.007470086216926575,0.0,0.011063530067489906
36,1.0026615717278056e-05,-1.8075338304042816,7.257707205685702,6.037402629852295,0.16811047206548127,0.007388446130789816,0.0,0.01105499955486845
37,3.261774674744248e-06,-1.82078202475201,7.317946000532671,6.057179927825928,0.14320281401953913,0.007399441727267747,0.0,0.011005381397394971
38,0.001,-1.5555946610190652,7.951070655475963,6.203150272369385,0.7028910930861126,0.011000143840316345,0.0,0.013293876312673092
39,0.0009977382253252558,-1.4277015084570104,7.698338205164129,6.121854782104492,1.0188917178999295,0.012217106996104121,0.0,0.015170296378941699
40,0.000990973384282722,-1.469743620265614,7.689863725142046,6.13986873626709,1.004790564829653,0.0134868518745696,0.0,0.014647986697541042
41,0.0009797667403204414,-1.4981025836684487,7.353784821250222,6.038167476654053,1.0447157404639504,0.009825744983655486,0.0,0.01350555875846608
42,0.0009642197825415284,-1.6196595267816023,7.599557226354426,6.1229448318481445,0.8852257579565048,0.009519216562197967,0.0,0.013356741348450834
